GeneID,GeneName
149069,DCD2B
8612,PLPP2
147183,K1C25
7353,UFD1
91689,EMRE
348938,NIPA4
1910,EDNRB
283694,OR4N4
159163,RBY1F
6300,MK12
6495,SIX1
283554,G137C
7320,UBE2B
10631,POSTN
157769,F91A1
79633,FAT4
253714,MMS22
389123,IQCF2
23576,DDAH1
23139,MAST2
57709,S7A14
56126,PCDBA
51599,LSR
58498,MLRA
79695,GLT12
23241,PACS2
64925,CCD71
79701,OGFD3
54807,ZN586
100505753,KR161
343406,O10R2
26154,ABCAC
10110,SGK2
22905,EPN2
5455,PO3F3
79258,MMEL1
78995,HROB
9828,ARHGH
147699,PPM1N
152485,ZN827
64344,HIF3A
6795,AURKC
80352,RNF39
51435,SCAR3
605,BCL7A
117166,WFKN1
22916,NCBP2
375033,PEAR1
55745,AP5M1
57546,PDP2
113452,TMM54
84295,PHF6
2847,MCHR1
728403,TSPY8
4943,TBC25
197021,LCTL
388372,CCL4
6642,SNX1
1297,CO9A1
3604,TNR9
1161,ERCC8
5308,PITX2
3850,K2C3
8999,CDKL2
5984,RFC4
146,ADA1D
23036,ZN292
6843,VAMP1
79971,WLS
440050,KRA57
4439,MSH5
201625,DYH12
25920,NELFB
10863,ADA28
353131,LCE1A
4990,SIX6
10915,TCRG1
222171,PRR15
130507,UBR3
390110,1A1L2
9184,BUB3
3755,KCNG1
51493,RTCB
5979,RET
83873,GPR61
795,S100G
57055,DAZ2
54919,DAAF5
9183,ZW10
2146,EZH2
154043,CNKR3
26534,O10G2
57449,PKHG5
91,ACV1B
2001,ELF5
23430,TRYD
30061,S40A1
389362,PSMG4
7375,UBP4
9314,KLF4
59336,PRD13
4253,MIA2
323,APBB2
11104,KTNA1
54973,INT11
84528,RHXF2
5362,PLXA2
4007,PRIC3
118424,UB2J2
339122,RAB43
85403,EAF1
398,GDIR3
3754,KCNF1
4698,NDUA5
4648,MYO7B
57190,SELN
729920,ISPD
1119,CHKA
5623,PSPN
5655,KLK10
23310,CNDD3
4093,SMAD9
256472,T151A
8786,RGS11
55075,UACA
26112,CCD69
22979,EFR3B
117283,IP6K3
3818,KLKB1
4646,MYO6
5671,PSG3
3249,HEPS
23347,SMHD1
4684,NCAM1
8912,CAC1H
55287,TMM40
10214,SSX3
389903,CSAG2
340359,KLH38
653067,XAGE1
9498,S4A8
114815,SORC1
2835,GPR12
4212,MEIS2
